         225759 function calls (216231 primitive calls) in 6.879 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       71    0.000    0.000    0.008    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1689(summary)
   283/71    0.001    0.000    0.008    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1664(_do_summary)
        1    0.000    0.000    0.007    0.007 C:\Users\corys\source\repos\PcapAnalyzer\main.py:58(get_available_interfaces)
        1    0.000    0.000    0.007    0.007 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\arch\windows\__init__.py:243(get_windows_if_list)
        1    0.005    0.005    0.007    0.007 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\arch\windows\structures.py:413(GetAdaptersAddresses)
       71    0.001    0.000    0.007    0.000 C:\Users\corys\source\repos\PcapAnalyzer\main.py:966(add_packet_to_list)
     1039    0.001    0.000    0.006    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1366(__getitem__)
   223/71    0.002    0.000    0.006    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1535(sprintf)
2686/1039    0.004    0.000    0.006    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1299(getlayer)
     7440    0.002    0.000    0.005    0.000 {built-in method builtins.all}
       61    0.000    0.000    0.005    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\inet.py:865(mysummary)
       12    0.000    0.000    0.005    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:1715(configure)
       12    0.000    0.000    0.005    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:1702(_configure)
4793/1451    0.004    0.000    0.005    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1271(haslayer)
       71    0.001    0.000    0.005    0.000 C:\Users\corys\source\repos\PcapAnalyzer\main.py:133(decode_layer3)
    33792    0.005    0.000    0.005    0.000 {method 'count' of 'bytes' objects}
