         225759 function calls (216231 primitive calls) in 6.879 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
53820/53656    0.004    0.000    0.006    0.000 {built-in method builtins.len}
      134    0.000    0.000    0.006    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:1324(insert)
      134    0.000    0.000    0.005    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:2006(yview_moveto)
        1    0.000    0.000    0.004    0.004 C:\Users\corys\source\repos\PcapAnalyzer\main.py:890(add_export_options)
 1175/394    0.001    0.000    0.004    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:739(do_build)
      628    0.002    0.000    0.004    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:2404(getfield)
       10    0.000    0.000    0.004    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:702(__init__)
    31061    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
      152    0.001    0.000    0.004    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:42(_format_optdict)
 1175/394    0.000    0.000    0.003    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:730(do_build_payload)
      134    0.000    0.000    0.003    0.000 C:\Users\corys\source\repos\PcapAnalyzer\main.py:111(get_timestamp)
  527/526    0.001    0.000    0.003    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:256(init_fields)
      135    0.000    0.000    0.003    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\arch\libpcap.py:132(select)
       36    0.000    0.000    0.003    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\inet.py:809(mysummary)
      134    0.000    0.000    0.003    0.000 C:\Users\corys\source\repos\PcapAnalyzer\main.py:335(identify_protocols)
        4    0.000    0.000    0.003    0.001 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:3370(__init__)
      135    0.002    0.000    0.003    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\automaton.py:64(select_objects)
        2    0.000    0.000    0.003    0.001 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\encodings\__init__.py:71(search_function)
      244    0.000    0.000    0.003    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:2615(i2repr)
        2    0.000    0.000    0.003    0.001 {built-in method builtins.__import__}
      152    0.000    0.000    0.003    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:32(_format_optvalue)
        2    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:1349(_find_and_load)
     4447    0.002    0.000    0.003    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:465(getfield_and_val)
        2    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      244    0.002    0.000    0.003    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:2594(i2repr_one)
     1094    0.001    0.000    0.003    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:693(self_build)
      134    0.003    0.000    0.003    0.000 {method 'strftime' of 'datetime.date' objects}
      134    0.000    0.000    0.003    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:58(_join)
     1910    0.001    0.000    0.002    0.000 {built-in method builtins.hasattr}
      349    0.000    0.000    0.002    0.000 {method 'join' of 'str' objects}
  518/517    0.001    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:283(do_init_cached_fields)
    13499    0.002    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:453(getfieldval)
        2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:911(_load_unlocked)
      529    0.002    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1795(__new__)
        2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:989(exec_module)
        7    0.000    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:570(__init__)
      134    0.000    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:648(__len__)
      845    0.001    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:63(_stringify)
      132    0.000    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:1785(getfield)
     2307    0.002    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:208(m2i)
     2394    0.001    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:315(__getattr__)
      134    0.000    0.000    0.002    0.000 C:\Users\corys\source\repos\PcapAnalyzer\main.py:117(decode_layer2)
      144    0.000    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:3626(set)
    12977    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 C:\Users\corys\source\repos\PcapAnalyzer\main.py:734(setup_protocol_analysis_frame)
      9/1    0.000    0.000    0.002    0.002 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\arch\windows\structures.py:66(_resolve_list)
   175/35    0.001    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\arch\windows\structures.py:76(_struct_to_dict)
        2    0.000    0.000    0.002    0.001 C:\Users\corys\source\repos\PcapAnalyzer\main.py:469(__init__)
      160    0.000    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:3215(m2i)
       14    0.000    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\re\__init__.py:226(compile)
       14    0.000    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\re\__init__.py:280(_compile)
      992    0.001    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:663(_raw_packet_cache_field_value)
        1    0.000    0.000    0.002    0.002 C:\Users\corys\source\repos\PcapAnalyzer\main.py:761(setup_location_tracking_frame)
        1    0.000    0.000    0.001    0.001 C:\Users\corys\source\repos\PcapAnalyzer\main.py:876(add_protocol_filters)
        7    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\scrolledtext.py:21(__init__)
        7    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:740(compile)
      322    0.001    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:2991(__init__)
        2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1062(get_code)
  407/387    0.001    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:373(add_payload)
      392    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:3199(_fixup_val)
       24    0.000    0.000    0.001    0.000 c:\program files\microsoft visual studio\2022\community\common7\ide\extensions\microsoft\python\core\debugpy\_vendored\pydevd\pydevd.py:1777(process_internal_commands)
      288    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:813(m2i)
      135    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\queue.py:122(put)
     8654    0.001    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1282(<lambda>)
        2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1183(get_data)
        4    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:740(__init__)
      263    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:902(i2repr)
     5043    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
        4    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:719(__init__)
      299    0.001    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\utils.py:676(str2mac)
      268    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:692(deletecommand)
      600    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:666(<lambda>)
      240    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:490(_iterate_fields_cond)
      794    0.001    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:872(i2h)
      126    0.001    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\base64.py:65(b64decode)
      141    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:1544(_options)
        3    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:1555(m2i)
     7450    0.001    0.000    0.001    0.000 {built-in method math.log2}
      398    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:932(i2h)
      228    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:262(do_copy)
     1325    0.001    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\config.py:1121(__getattribute__)
      160    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:619(fld)
        3    0.000    0.000    0.001    0.000 {built-in method builtins.exec}
        1    0.000    0.000    0.001    0.001 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:665(__init__)
     5000    0.001    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1315(<lambda>)
      160    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:531(_find_fld)
      2/1    0.000    0.000    0.001    0.001 C:\Users\corys\source\repos\PcapAnalyzer\main.py:33(start_capture)
        1    0.000    0.000    0.001    0.001 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:623(__init__)
       24    0.000    0.000    0.001    0.000 c:\program files\microsoft visual studio\2022\community\common7\ide\extensions\microsoft\python\core\debugpy\_vendored\pydevd\pydevd.py:314(can_exit)
      966    0.001    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:3117(__setattr__)
      2/1    0.000    0.000    0.001    0.001 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\threading.py:975(start)
        7    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:573(_code)
     3086    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     1690    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
     4476    0.001    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:368(get_field)
        7    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:969(parse)
      160    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:508(_find_fld_pkt)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
       10    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\json\decoder.py:332(decode)
      124    0.000    0.000    0.001    0.000 C:\Users\corys\source\repos\PcapAnalyzer\main.py:391(decode_ip_flags)
       52    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:2467(pack_configure)
      134    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\l2.py:299(dispatch_hook)
     10/7    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:452(_parse_sub)
       98    0.000    0.000    0.001    0.000 C:\Users\corys\source\repos\PcapAnalyzer\main.py:621(identify_file_signature)
       10    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\l2.py:584(mysummary)
      368    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\inet.py:527(i2h)
        2    0.001    0.000    0.001    0.000 {built-in method _io.open_code}
     27/7    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:37(_compile)
     11/7    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:512(_parse)
     1027    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\config.py:194(__contains__)
      304    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
     3065    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
        8    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:316(prepare_cached_fields)
      642    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:2978(_fixvalue)
       48    0.000    0.000    0.001    0.000 c:\program files\microsoft visual studio\2022\community\common7\ide\extensions\microsoft\python\core\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_daemon_thread.py:107(new_threading_enumerate)
      320    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:3025(__ne__)
        2    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
      160    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:3131(copy)
      124    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\inet.py:548(<lambda>)
     2109    0.001    0.000    0.001    0.000 {method 'unpack' of '_struct.Struct' objects}
        1    0.000    0.000    0.001    0.001 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:1160(__init__)
      196    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:3072(__str__)
      263    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:876(resolve)
  160/159    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\copy.py:118(deepcopy)
        7    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:3635(__init__)
       40    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:561(getfield)
       60    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:583(i2h)
  550/164    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:357(dissection_done)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      124    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\inet.py:564(extract_padding)
      268    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:894(m2i)
       24    0.000    0.000    0.000    0.000 c:\program files\microsoft visual studio\2022\community\common7\ide\extensions\microsoft\python\core\debugpy\_vendored\pydevd\pydevd.py:1480(has_user_threads_alive)
        1    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\dns.py:1197(_DNSRR)
      134    0.000    0.000    0.000    0.000 {built-in method fromtimestamp}
     2180    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      141    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\queue.py:209(_qsize)
      126    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\json\__init__.py:244(detect_encoding)
 1094/378    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:757(build_padding)
      531    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFFF41358F0}
     1752    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      268    0.000    0.000    0.000    0.000 {method 'deletecommand' of '_tkinter.tkapp' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
        1    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\typing.py:1180(__call__)
       80    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:517(_find_fld_pkt_val)
 1175/394    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:784(build_done)
       10    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:267(do_init_fields)
        7    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:2718(__init__)
     1648    0.000    0.000    0.000    0.000 {method 'index' of 'str' objects}
     1946    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:780(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:2396(readprofile)
       18    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        6    0.000    0.000    0.000    0.000 {built-in method nt.stat}
        1    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\encodings\utf_16_be.py:1(<module>)
      268    0.000    0.000    0.000    0.000 {built-in method _socket.inet_ntoa}
      125    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1997(mysummary)
       24    0.000    0.000    0.000    0.000 c:\program files\microsoft visual studio\2022\community\common7\ide\extensions\microsoft\python\core\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_utils.py:139(get_non_pydevd_threads)
        2    0.000    0.000    0.000    0.000 C:\Users\corys\source\repos\PcapAnalyzer\main.py:243(decode_dns)
        1    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:912(__init__)
    523/9    2.398    0.005    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
      280    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\threading.py:302(__exit__)
      196    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:3219(i2h)
        1    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\encodings\utf_32_be.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:1080(__init__)
       97    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\threading.py:311(_acquire_restore)
      100    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      279    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\threading.py:299(__enter__)
      529    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      195    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:106(_cnfmerge)
     3632    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\typing.py:2182(cast)
        3    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:420(copy)
     3207    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:203(i2h)
       16    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\encodings\utf_32_be.py:10(decode)
       10    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\json\decoder.py:343(raw_decode)
       64    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:2617(_setup)
       98    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1112(default_payload_class)
      138    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\threading.py:394(notify)
       20    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:601(i2repr)
       88    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\inet.py:850(extract_padding)
       36    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\inet.py:394(getfield)
      468    0.000    0.000    0.000    0.000 {method 'hex' of 'bytes' objects}
      234    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\threading.py:314(_is_owned)
      270    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        5    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:555(__init__)
     1940    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1333(<genexpr>)
      387    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:398(add_underlayer)
       12    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:272(_val_or_dict)
        1    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:2360(_loadtk)
      126    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:1462(getfield)
     1606    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      135    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\arch\libpcap.py:128(fileno)
      146    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\l2.py:231(i2h)
        5    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:380(__init__)
       64    0.000    0.000    0.000    0.000 c:\program files\microsoft visual studio\2022\community\common7\ide\extensions\microsoft\python\core\debugpy\_vendored\pydevd\pydevd.py:1721(notify_thread_created)
       12    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:3387(add)
        5    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\dns.py:371(getfield)
        8    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:3210(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:611(__div__)
        6    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:1248(heading)
       36    0.000    0.000    0.000    0.000 C:\Users\corys\source\repos\PcapAnalyzer\main.py:378(decode_tcp_flags)
      521    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       36    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:3223(i2repr)
        3    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\interfaces.py:416(resolve_iface)
        7    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:3585(__init__)
      527    0.000    0.000    0.000    0.000 {built-in method time.time}
      181    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:168(__getitem__)
        2    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:3392(add_cascade)
      126    0.000    0.000    0.000    0.000 {built-in method binascii.a2b_base64}
      272    0.000    0.000    0.000    0.000 {built-in method _ctypes.byref}
       10    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\dns.py:1247(i2h)
       40    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\l2.py:488(<lambda>)
      280    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
      208    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:2590(_i2repr)
     1513    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1918(haslayer)
        1    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\arch\libpcap.py:512(__init__)
